#Stellar_Type,Mass,Luminosity,Radius,Temp,B-V,Mv,BC(Temp),Mbol
#None,Mstar/Msun,Lstar/Lsun,Rstar/Rsun,K,Color,Mag,Corr,Mag
B9VI,2.10,52.00,1.81,11710.00,-0.11,1.20,-0.74,0.46
C0Ia,10.20,170000.00,649.00,4669.00,1.03,-7.70,-0.62,-8.32
C0Ia0,12.00,813000.00,1420.00,4669.00,1.03,-9.40,-0.62,-10.02
C0Ib,8.30,9770.00,156.00,4669.00,1.03,-4.60,-0.62,-5.22
C0II,6.50,1290.00,56.50,4669.00,1.03,-2.40,-0.62,-3.02
C0III,4.60,89.10,14.90,4669.00,1.03,0.50,-0.62,-0.12
C0IV,2.80,6.20,2.76,5560.00,0.75,3.00,-0.23,2.77
C0V,0.90,0.98,1.10,5560.00,0.75,5.00,-0.23,4.77
C0VI,0.80,0.30,0.61,5560.00,0.75,6.30,-0.23,6.07
C1Ia,10.80,191000.00,785.00,4371.00,1.14,-7.60,-0.85,-8.45
C1Ia0,12.70,1100000.00,1880.00,4371.00,1.14,-9.50,-0.85,-10.35
C1Ib,8.80,12000.00,197.00,4371.00,1.14,-4.60,-0.85,-5.45
C1II,6.80,1590.00,71.60,4371.00,1.14,-2.40,-0.85,-3.25
C1III,4.80,132.00,20.60,4371.00,1.14,0.30,-0.85,-0.55
C1IV,2.80,7.00,3.41,5164.00,0.87,3.00,-0.36,2.64
C1V,0.80,0.64,1.03,5164.00,0.87,5.60,-0.36,5.24
C1VI,0.70,0.18,0.54,5164.00,0.87,7.00,-0.36,6.64
C2Ia,11.40,228000.00,989.00,4073.00,1.25,-7.50,-1.15,-8.65
C2Ia0,13.50,1310000.00,2370.00,4073.00,1.25,-9.40,-1.15,-10.55
C2Ib,9.20,17300.00,272.00,4073.00,1.25,-4.70,-1.15,-5.85
C2II,7.10,2280.00,98.90,4073.00,1.25,-2.50,-1.15,-3.65
C2III,5.00,208.00,29.90,4073.00,1.25,0.10,-1.15,-1.05
C2IV,2.90,7.67,4.18,4769.00,1.00,3.10,-0.56,2.54
C2V,0.80,0.28,0.80,4769.00,1.00,6.70,-0.56,6.14
C2VI,0.70,0.13,0.55,4769.00,1.00,7.50,-0.56,6.94
C3Ia,12.00,297000.00,1310.00,3776.00,1.37,-7.40,-1.53,-8.93
C3Ia0,14.20,1710000.00,3150.00,3776.00,1.37,-9.30,-1.53,-10.83
C3Ib,9.70,24700.00,378.00,3776.00,1.37,-4.70,-1.53,-6.23
C3II,7.40,3570.00,144.00,3776.00,1.37,-2.60,-1.53,-4.13
C3III,5.20,357.00,45.50,3776.00,1.37,-0.10,-1.53,-1.63
C3IV,2.90,10.00,5.68,4373.00,1.14,3.10,-0.85,2.25
C3V,0.70,0.12,0.62,4373.00,1.14,7.90,-0.85,7.05
C3VI,0.60,0.09,0.54,4373.00,1.14,8.20,-0.85,7.35
C4Ia,12.60,429000.00,1860.00,3478.00,1.50,-7.30,-2.03,-9.33
C4Ia0,15.00,2710000.00,4670.00,3478.00,1.50,-9.30,-2.03,-11.33
C4Ib,10.20,42900.00,588.00,3478.00,1.50,-4.80,-2.03,-6.83
C4II,7.80,6200.00,223.00,3478.00,1.50,-2.70,-2.03,-4.73
C4III,5.40,680.00,74.00,3478.00,1.50,-0.30,-2.03,-2.33
C4IV,3.00,14.60,8.28,3978.00,1.29,3.10,-1.26,1.84
C4V,0.60,0.06,0.55,3978.00,1.29,9.00,-1.26,7.74
C4VI,0.50,0.06,0.55,3978.00,1.29,9.00,-1.26,7.74
C5Ia,13.20,783000.00,3000.00,3180.00,1.65,-7.30,-2.68,-9.98
C5Ia0,15.70,4940000.00,7550.00,3180.00,1.65,-9.30,-2.68,-11.98
C5Ib,10.60,94100.00,1040.00,3180.00,1.65,-5.00,-2.68,-7.68
C5II,8.10,11300.00,361.00,3180.00,1.65,-2.70,-2.68,-5.38
C5III,5.50,1490.00,131.00,3180.00,1.65,-0.50,-2.68,-3.18
C5IV,3.00,22.70,12.80,3582.00,1.46,3.20,-1.84,1.36
