#Stellar_Type,Mass,Luminosity,Radius,Temp,B-V,Mv,BC(Temp),Mbol
#None,Mstar/Msun,Lstar/Lsun,Rstar/Rsun,K,Color,Mag,Corr,Mag
WC6Ia0,136.70,7810000.00,76.60,35400.00,-0.32,-8.90,-3.58,-12.48
WC6Ib,103.50,781000.00,24.20,35400.00,-0.32,-6.40,-3.58,-9.98
WC6II,86.90,654000.00,20.50,36800.00,-0.32,-6.10,-3.69,-9.79
WC6III,70.20,376000.00,15.60,36800.00,-0.32,-5.50,-3.69,-9.19
WC6IV,53.60,313000.00,14.20,36800.00,-0.32,-5.30,-3.69,-8.99
WC6V,37.00,260000.00,12.90,36800.00,-0.32,-5.10,-3.69,-8.79
WC6VI,14.20,180000.00,10.80,36800.00,-0.32,-4.70,-3.69,-8.39
WC7Ia,100.90,1120000.00,33.80,32800.00,-0.31,-7.00,-3.37,-10.37
WC7Ia0,115.10,5880000.00,77.40,32800.00,-0.31,-8.80,-3.37,-12.17
WC7Ib,86.70,588000.00,24.50,32800.00,-0.31,-6.30,-3.37,-9.67
WC7II,72.50,510000.00,20.50,34600.00,-0.32,-6.00,-3.52,-9.52
WC7III,58.40,294000.00,15.50,34600.00,-0.32,-5.40,-3.52,-8.92
WC7IV,44.20,223000.00,13.50,34600.00,-0.32,-5.10,-3.52,-8.62
WC7V,30.00,154000.00,11.30,34600.00,-0.32,-4.70,-3.52,-8.22
WC7VI,10.90,107000.00,9.36,34600.00,-0.32,-4.30,-3.52,-7.82
WC8Ia,81.70,913000.00,36.00,30200.00,-0.30,-7.00,-3.15,-10.15
WC8Ia0,93.40,4370000.00,78.70,30200.00,-0.30,-8.70,-3.15,-11.85
WC8Ib,69.90,437000.00,24.90,30200.00,-0.30,-6.20,-3.15,-9.35
WC8II,58.20,360000.00,19.60,32400.00,-0.31,-5.80,-3.34,-9.14
WC8III,46.50,207000.00,14.90,32400.00,-0.31,-5.20,-3.34,-8.54
WC8IV,34.70,157000.00,13.00,32400.00,-0.31,-4.90,-3.34,-8.24
WC8V,23.00,99100.00,10.30,32400.00,-0.31,-4.40,-3.34,-7.74
WC8VI,7.60,57000.00,7.81,32400.00,-0.31,-3.80,-3.34,-7.14
WC9Ia,63.10,731000.00,38.50,27600.00,-0.29,-7.00,-2.91,-9.91
WC9Ia0,71.80,3190000.00,80.50,27600.00,-0.29,-8.60,-2.91,-11.51
WC9Ib,54.50,319000.00,25.50,27600.00,-0.29,-6.10,-2.91,-9.01
WC9II,45.90,276000.00,19.80,30200.00,-0.30,-5.70,-3.15,-8.85
WC9III,37.30,159000.00,15.00,30200.00,-0.30,-5.10,-3.15,-8.25
WC9IV,28.60,110000.00,12.50,30200.00,-0.30,-4.70,-3.15,-7.85
WC9V,20.00,57600.00,9.04,30200.00,-0.30,-4.00,-3.15,-7.15
WC9VI,6.70,33100.00,6.85,30200.00,-0.30,-3.40,-3.15,-6.55
WN0Ia,150.00,2590000.00,22.10,50000.00,-0.35,-6.70,-4.58,-11.28
WN0Ia0,160.00,34100000.00,80.20,50000.00,-0.35,-9.50,-4.58,-14.08
WN0Ib,140.00,2150000.00,20.20,50000.00,-0.35,-6.50,-4.58,-11.08
WN0II,130.00,2150000.00,20.20,50000.00,-0.35,-6.50,-4.58,-11.08
WN0III,120.00,2150000.00,20.20,50000.00,-0.35,-6.50,-4.58,-11.08
WN0IV,110.00,1360000.00,16.00,50000.00,-0.35,-6.00,-4.58,-10.58
WN0V,100.00,1240000.00,15.30,50000.00,-0.35,-5.90,-4.58,-10.48
WN0VI,60.00,940000.00,13.30,50000.00,-0.35,-5.60,-4.58,-10.18
WN1Ia,149.30,2250000.00,22.70,47600.00,-0.35,-6.70,-4.43,-11.13
WN1Ia0,159.70,27100000.00,78.80,47600.00,-0.35,-9.40,-4.43,-13.83
WN1Ib,139.00,1870000.00,20.70,47600.00,-0.35,-6.50,-4.43,-10.93
WN1II,128.60,1730000.00,19.80,47800.00,-0.35,-6.40,-4.44,-10.84
WN1III,118.20,1580000.00,18.90,47800.00,-0.35,-6.30,-4.44,-10.74
WN1IV,107.90,1090000.00,15.70,47800.00,-0.35,-5.90,-4.44,-10.34
WN1V,97.50,994000.00,15.00,47800.00,-0.35,-5.80,-4.44,-10.24
WN1VI,37.00,754000.00,13.10,47800.00,-0.35,-5.50,-4.44,-9.94
WN2Ia,148.60,2140000.00,24.60,45200.00,-0.35,-6.80,-4.28,-11.08
WN2Ia0,159.40,21400000.00,77.70,45200.00,-0.35,-9.30,-4.28,-13.58
WN2Ib,137.90,1620000.00,21.40,45200.00,-0.35,-6.50,-4.28,-10.78
WN2II,127.20,1520000.00,20.30,45600.00,-0.35,-6.40,-4.30,-10.70
WN2III,116.50,1260000.00,18.50,45600.00,-0.35,-6.20,-4.30,-10.50
WN2IV,105.70,872000.00,15.40,45600.00,-0.35,-5.80,-4.30,-10.10
WN2V,95.00,795000.00,14.70,45600.00,-0.35,-5.70,-4.30,-10.00
WN2VI,30.00,603000.00,12.80,45600.00,-0.35,-5.40,-4.30,-9.70
WN3Ia,148.00,1850000.00,25.50,42800.00,-0.34,-6.80,-4.12,-10.92
WN3Ia0,159.00,16800000.00,76.90,42800.00,-0.34,-9.20,-4.12,-13.32
WN3Ib,136.90,1400000.00,22.20,42800.00,-0.34,-6.50,-4.12,-10.62
WN3II,125.80,1210000.00,20.00,43400.00,-0.34,-6.30,-4.16,-10.46
WN3III,114.70,917000.00,17.50,43400.00,-0.34,-6.00,-4.16,-10.16
WN3IV,103.60,696000.00,15.20,43400.00,-0.34,-5.70,-4.16,-9.86
WN3V,92.50,634000.00,14.50,43400.00,-0.34,-5.60,-4.16,-9.76
WN3VI,23.00,481000.00,12.60,43400.00,-0.34,-5.30,-4.16,-9.46
WN4Ia,147.30,1740000.00,27.70,40400.00,-0.33,-6.90,-3.95,-10.85
WN4Ia0,158.70,13200000.00,76.40,40400.00,-0.33,-9.10,-3.95,-13.05
WN4Ib,135.80,1200000.00,23.10,40400.00,-0.33,-6.50,-3.95,-10.45
WN4II,124.40,960000.00,19.80,41200.00,-0.34,-6.20,-4.01,-10.21
WN4III,112.90,728000.00,17.30,41200.00,-0.34,-5.90,-4.01,-9.91
WN4IV,101.50,552000.00,15.00,41200.00,-0.34,-5.60,-4.01,-9.61
WN4V,90.00,504000.00,14.40,41200.00,-0.34,-5.50,-4.01,-9.51
WN4VI,20.00,382000.00,12.50,41200.00,-0.34,-5.20,-4.01,-9.21
WN5Ia,142.00,1480000.00,29.00,38000.00,-0.33,-6.90,-3.78,-10.68
WN5Ia0,158.40,10300000.00,76.20,38000.00,-0.33,-9.00,-3.78,-12.78
WN5Ib,125.60,1030000.00,24.10,38000.00,-0.33,-6.50,-3.78,-10.28
WN5II,109.20,759000.00,19.70,39000.00,-0.33,-6.10,-3.85,-9.95
WN5III,92.80,525000.00,16.40,39000.00,-0.33,-5.70,-3.85,-9.55
WN5IV,76.40,437000.00,14.90,39000.00,-0.33,-5.50,-3.85,-9.35
WN5V,60.00,398000.00,14.20,39000.00,-0.33,-5.40,-3.85,-9.25
WN5VI,17.50,302000.00,12.40,39000.00,-0.33,-5.10,-3.85,-8.95
WN6Ia,120.10,1360000.00,31.90,35400.00,-0.32,-7.00,-3.58,-10.58
WN6Ia0,136.70,7810000.00,76.60,35400.00,-0.32,-8.90,-3.58,-12.48
WN6Ib,103.50,781000.00,24.20,35400.00,-0.32,-6.40,-3.58,-9.98
WN6II,86.90,654000.00,20.50,36800.00,-0.32,-6.10,-3.69,-9.79
WN6III,70.20,376000.00,15.60,36800.00,-0.32,-5.50,-3.69,-9.19
WN6IV,53.60,313000.00,14.20,36800.00,-0.32,-5.30,-3.69,-8.99
WN6V,37.00,260000.00,12.90,36800.00,-0.32,-5.10,-3.69,-8.79
WN6VI,14.20,180000.00,10.80,36800.00,-0.32,-4.70,-3.69,-8.39
WN7Ia,100.90,1120000.00,33.80,32800.00,-0.31,-7.00,-3.37,-10.37
WN7Ia0,115.10,5880000.00,77.40,32800.00,-0.31,-8.80,-3.37,-12.17
WN7Ib,86.70,588000.00,24.50,32800.00,-0.31,-6.30,-3.37,-9.67
WN7II,72.50,510000.00,20.50,34600.00,-0.32,-6.00,-3.52,-9.52
WN7III,58.40,294000.00,15.50,34600.00,-0.32,-5.40,-3.52,-8.92
WN7IV,44.20,223000.00,13.50,34600.00,-0.32,-5.10,-3.52,-8.62
WN7V,30.00,154000.00,11.30,34600.00,-0.32,-4.70,-3.52,-8.22
WN7VI,10.90,107000.00,9.36,34600.00,-0.32,-4.30,-3.52,-7.82
WN8Ia,81.70,913000.00,36.00,30200.00,-0.30,-7.00,-3.15,-10.15
WN8Ia0,93.40,4370000.00,78.70,30200.00,-0.30,-8.70,-3.15,-11.85
WN8Ib,69.90,437000.00,24.90,30200.00,-0.30,-6.20,-3.15,-9.35
WN8II,58.20,360000.00,19.60,32400.00,-0.31,-5.80,-3.34,-9.14
WN8III,46.50,207000.00,14.90,32400.00,-0.31,-5.20,-3.34,-8.54
WN8IV,34.70,157000.00,13.00,32400.00,-0.31,-4.90,-3.34,-8.24
WN8V,23.00,99100.00,10.30,32400.00,-0.31,-4.40,-3.34,-7.74
WN8VI,7.60,57000.00,7.81,32400.00,-0.31,-3.80,-3.34,-7.14
WN9Ia,63.10,731000.00,38.50,27600.00,-0.29,-7.00,-2.91,-9.91
WN9Ia0,71.80,3190000.00,80.50,27600.00,-0.29,-8.60,-2.91,-11.51
WN9Ib,54.50,319000.00,25.50,27600.00,-0.29,-6.10,-2.91,-9.01
WN9II,45.90,276000.00,19.80,30200.00,-0.30,-5.70,-3.15,-8.85
WN9III,37.30,159000.00,15.00,30200.00,-0.30,-5.10,-3.15,-8.25
WN9IV,28.60,110000.00,12.50,30200.00,-0.30,-4.70,-3.15,-7.85
WN9V,20.00,57600.00,9.04,30200.00,-0.30,-4.00,-3.15,-7.15
WN9VI,6.70,33100.00,6.85,30200.00,-0.30,-3.40,-3.15,-6.55
